142.147.114.50:8080 US-N - 
171.245.205.29:14306 VN-H! + 
213.171.63.210:41890 RU-N - 
43.255.113.232:86 KH-A - 
68.183.111.90:80 US-H - 
163.172.210.222:4542 NL-N - 
212.92.204.54:80 HR-N - 
138.2.89.217:80 SG-A - 
103.41.173.47:3128 NP-N - 
155.138.132.50:80 CA-A! + 
45.177.55.74:999 DO-N - 
193.117.138.126:44805 GB-H-S - 
62.171.188.233:8000 DE-H - 
180.183.231.77:8080 TH-N - 
201.243.82.210:999 VE-N! - 
105.235.219.154:8080 MZ-N - 
103.148.39.38:83 IN-N - 
20.163.143.93:3128 US-A-S - 
154.236.184.81:1975 EG-A - 
62.253.84.50:3333 GB-N - 
103.155.54.233:83 IN-N! - 
20.25.84.98:9090 US-N - 
61.19.109.236:8080 TH-A - 
181.40.78.18:3128 PY-N - 
42.3.182.149:80 HK-A + 
38.65.136.137:999 MX-N! - 
211.20.112.2:5168 TW-N - 
185.49.96.94:8080 IR-N - 
203.235.116.97:8080 KR-A - 
43.154.233.149:8080 HK-A-S - 
98.164.130.195:8080 US-N - 
190.107.233.236:999 EC-N-S! + 
61.216.156.222:60808 TW-H - 
139.59.61.115:80 IN-H + 
212.3.187.188:8080 IT-N - 
188.72.6.98:37083 IQ-H - 
130.83.58.203:3128 DE-A-S + 
176.56.140.237:8080 IT-N - 
44.197.16.217:80 US-A + 
14.207.133.74:8080 TH-N - 
96.36.109.242:8080 US-N-S - 
24.13.39.11:80 US-H - 
139.59.249.244:7777 SG-N + 
3.138.46.196:80 US-H - 
49.205.199.95:80 IN-H - 
191.102.74.113:8080 CO-N! - 
35.201.247.214:80 TW-H - 
109.73.184.95:23500 IT-H - 
195.154.119.182:80 FR-A - 
91.196.77.182:3128 UZ-H - 
43.204.16.38:80 IN-A - 
159.192.138.170:8080 TH-N - 
82.165.105.48:80 DE-H - 
103.223.15.150:3128 IN-N - 
61.7.146.7:80 TH-N! - 
49.156.42.188:8080 KH-N - 
74.62.7.66:1888 US-A-S - 
162.144.233.16:80 US-H - 
161.35.140.31:8888 US-H-S - 
3.109.105.50:80 IN-H - 
82.165.21.59:80 DE-H - 
66.128.123.114:8080 US-N - 
46.101.49.62:80 GB-H - 
181.232.190.195:999 DO-N-S! - 
181.129.98.146:8080 CO-N - 
202.164.152.229:8080 IN-N - 
118.163.13.200:8080 TW-N - 
180.183.125.10:8080 TH-N-S - 
14.175.62.233:19132 VN-N - 
37.236.59.83:80 IQ-N + 
139.59.134.104:80 DE-H + 
161.82.183.156:80 TH-N! - 
51.68.124.241:80 FR-H - 
167.99.124.118:80 US-A - 
94.73.239.124:55443 RU-H - 
190.94.211.207:999 VE-N - 
190.216.234.242:8080 VE-A - 
104.45.128.122:80 US-H - 
135.90.134.182:3128 US-N + 
217.180.218.36:8080 US-N - 
34.81.160.132:80 TW-H - 
167.172.74.255:8080 SG-H - 
194.5.193.87:3128 NL-N - 
89.188.221.47:80 PL-H - 
1.1.189.58:8080 TH-N - 
62.32.92.124:8080 KZ-H - 
80.17.254.230:80 IT-H - 
37.32.22.14:8118 IR-H! - 
119.93.129.34:80 PH-H + 
34.142.43.20:80 GB-H - 
88.150.15.30:80 DE-N - 
185.142.53.59:3128 FR-N + 
94.102.203.2:1500 IE-N - 
194.31.55.247:80 LT-H - 
104.248.90.212:80 NL-H - 
37.228.65.107:32052 KZ-H - 
45.233.169.16:999 CO-N! - 
74.208.177.198:80 US-H - 
104.225.220.233:80 US-H - 
37.156.146.212:3128 IR-N - 
195.2.210.160:3128 RU-N - 
43.255.113.232:8080 KH-A - 
188.239.79.25:53281 UA-N-S - 
152.204.128.46:33047 CO-H - 
178.62.92.133:80 GB-H - 
44.193.229.111:80 US-H + 
138.91.159.185:80 US-H - 
213.212.247.204:1981 EG-N - 
45.170.101.2:999 CL-N - 
181.65.200.53:80 PE-H + 
80.210.63.249:8080 IR-N - 
85.221.249.210:8080 PL-N! - 
167.250.50.101:999 VE-N-S - 
71.14.214.67:8080 US-N - 
1.0.205.87:8080 TH-N - 
195.133.148.15:8080 FR-N - 
45.224.149.246:999 EC-N - 
191.102.73.108:999 CO-N - 
50.233.42.98:51696 US-H - 
217.21.214.139:8080 RU-N - 
188.133.153.227:1256 RU-N - 
185.219.134.141:2019 TR-N + 
142.11.222.22:80 US-H - 
110.74.219.3:8080 KH-N - 
190.109.16.145:999 CO-N-S! - 
37.236.59.107:8080 IQ-N + 
46.105.35.193:8080 FR-H - 
222.158.214.161:3128 JP-N - 
159.65.63.209:8888 GB-H - 
185.3.214.3:80 IR-N - 
119.76.142.187:8080 TH-N-S - 
41.60.232.155:8080 KE-N - 
49.231.140.120:8080 TH-N - 
51.38.191.151:80 FR-H - 
188.133.137.9:8081 RU-N - 
206.189.41.138:3123 SG-N + 
118.172.187.127:8080 TH-H - 
177.234.232.120:999 EC-N! + 
51.222.155.142:80 CA-H + 
143.198.77.180:80 US-H - 
211.43.214.205:80 KR-N - 
205.207.100.81:8282 US-N! - 
103.123.234.106:8080 IN-N - 
207.154.228.158:80 DE-H - 
64.227.106.157:80 US-A - 
113.53.53.75:8080 TH-N - 
31.220.109.82:80 US-H - 
140.83.32.175:80 JP-A - 
191.102.250.6:8085 AR-N - 
190.109.17.218:8080 CO-N - 
35.200.182.182:80 IN-A - 
44.159.12.58:8080 US-N-S! - 
78.47.68.183:80 DE-H - 
167.99.210.216:80 NL-H - 
51.89.143.178:8888 GB-H - 
72.170.220.17:8080 US-H + 
176.88.51.20:8080 TR-N - 
197.134.250.199:8080 EG-N - 
135.181.146.187:80 FI-H - 
91.90.180.185:8080 PL-N - 
200.71.115.3:8081 VE-H - 
190.131.250.105:999 CO-A! - 
178.32.101.200:80 FR-A! - 
154.236.189.29:8080 EG-H - 
211.248.241.66:3128 KR-N - 
20.125.113.25:3128 US-A - 
41.242.116.150:50000 YT-N-S - 
190.90.8.74:8080 CO-N! - 
38.54.105.10:3128 US-A - 
51.38.28.127:80 ES-H + 
173.249.54.192:3128 DE-N - 
81.91.136.76:8080 IR-N! - 
211.234.125.3:443 KR-N - 
176.100.216.154:8087 RU-H - 
136.243.231.210:3128 DE-N-S + 
186.166.138.51:999 VE-N! - 
190.109.6.121:999 CO-N! - 
185.245.182.5:80 DE-H - 
200.25.254.193:54240 CO-H-S - 
212.175.98.171:8080 TR-N - 
116.58.254.152:8080 TH-N-S - 
151.80.250.185:8080 FR-N + 
193.3.20.13:80 HK-A - 
194.145.138.52:9090 TR-N! - 
221.132.18.26:8090 VN-A! + 
161.35.223.141:80 DE-H - 
89.35.143.213:8080 ES-H - 
115.243.88.49:80 IN-A! - 
154.239.1.77:1976 EG-A! - 
5.16.0.174:8080 RU-N - 
190.84.31.74:1337 CO-N - 
213.14.174.70:3128 TR-A-S - 
190.2.213.115:999 CO-N-S - 
157.100.53.100:999 EC-N! - 
173.219.144.1:8080 US-N! - 
168.119.53.93:80 DE-H - 
160.119.135.210:3129 GN-N - 
172.105.184.208:8001 AU-H! + 
194.124.38.179:8181 SG-A! - 
51.103.137.65:80 CH-H - 
194.1.250.56:8080 RU-N - 
20.243.24.157:80 JP-H - 
54.75.75.45:8888 IE-A - 
203.189.137.96:8080 KH-N - 
185.126.200.141:80 IR-A - 
154.117.159.230:8080 ZA-N - 
132.255.210.113:999 SV-N! - 
24.172.82.94:53281 US-H - 
195.3.245.193:3128 UA-N! - 
94.74.132.129:808 IR-N - 
104.244.75.218:8080 LU-H - 
45.124.56.254:3128 PH-H - 
131.161.53.38:1994 HN-A! - 
52.88.105.39:80 US-H - 
162.55.106.189:8080 DE-N - 
14.139.242.7:80 IN-H! + 
190.60.28.31:80 CO-H! - 
190.121.157.142:999 CO-N! - 
177.93.52.82:999 CO-N! - 
186.148.181.54:999 CO-N-S - 
45.177.109.197:8080 CO-N - 
38.242.204.153:7070 US-H-S + 
41.161.92.138:8080 ZA-N-S - 
185.158.175.182:8080 IR-N - 
104.211.157.219:80 IN-H - 
153.126.179.216:8080 JP-H-S - 
5.104.174.199:23500 BG-H - 
200.122.255.42:999 CO-N - 
54.175.197.235:80 US-H - 
46.101.13.77:80 GB-H - 
165.154.243.53:80 TW-A! + 
103.104.193.22:8080 PK-N - 
164.132.170.100:80 FR-H - 
45.233.67.211:999 GT-N! - 
167.99.236.14:80 US-H + 
180.92.145.234:8080 PK-N-S - 
103.171.194.38:83 IN-N-S - 
5.182.26.131:80 UZ-A - 
162.144.236.128:80 US-H! + 
138.68.235.51:80 US-H - 
201.249.152.174:999 VE-N! - 
190.92.35.102:999 HN-N - 
194.150.69.44:8888 IR-N-S! - 
186.96.111.178:999 CO-N-S - 
65.20.190.48:443 IQ-A - 
117.247.69.74:80 IN-H - 
165.227.236.216:80 GB-H + 
45.175.238.70:999 MX-N-S - 
180.178.189.102:3127 PK-N - 
179.1.98.54:999 CO-N-S - 
41.72.203.182:42928 KE-H - 
91.150.189.122:30389 PL-H-S - 
45.170.100.128:999 CL-N! - 
187.63.156.82:999 DO-N! - 
